ra,dec,mag
3.923332170542748,-0.7348568141984414,3.13
3.935482541929895,0.704948363444076,3.49
3.944751025656148,-0.4412535306239682,3.25
3.949323090164672,-0.8211991424125195,3.91
3.979067427609473,-0.8506354117910503,3.88
3.9805968596329957,-0.9093033979597781,3.41
3.9946334956092344,0.5814535256020601,3.46
4.001197591659523,-0.1637627950913488,2.61
4.009505009833165,-1.1986841890216091,2.87
4.017438054882255,1.2537400941302872,3.0
4.020244020720686,-0.7094330218636604,3.22
4.022139186488965,-0.6328804025036513,3.57
4.025956483362464,-0.7799810453716933,3.37
4.035766891821462,1.02915198119499,3.29
4.048418085437468,0.5079903484575911,3.66
4.078344373456789,0.4662593515094815,2.22
4.0788451956856475,0.18393792857977723,3.8
4.080321744232835,-0.7184954520184232,2.8
4.082003543500057,-0.2581261154955246,3.91
4.088539365216462,-0.49104976385871374,3.6
4.095660308564599,-0.5197198511489116,3.66
4.113491726666988,0.45894544455924413,3.81
4.120145881706678,0.11214834765504568,2.63
4.128522153119312,0.269161640369667,3.65
4.143499434295914,-0.05986842362824965,3.54
4.148717881492914,0.0781511315153257,3.71
4.149341225835264,-0.586904747361399,3.97
4.167606183723847,-1.1070750330836652,2.83
4.173313148578481,0.27334678283631675,3.85
4.1751967951736955,-0.5098817617679774,3.87
4.183780673500854,-0.4557771134615138,2.89
4.18932322833995,-0.6701489416202618,3.42
4.1902450239843905,-0.39482332193132647,2.29
4.21251446530875,-0.3456703646989885,2.56
4.21849186893098,-0.3607454541268718,3.93
4.251384867612841,-0.06447809998215447,2.73
4.2561504018689496,-1.1115248372780873,3.86
4.268732742245962,-0.08189976713605163,3.23
4.274925083165577,0.8083207243811962,3.91
4.281242825991946,-0.4466785549912347,2.9
4.284435469526157,0.33428518056250156,3.74
4.293473307991759,1.0736255536230985,2.73
4.317105415129612,-0.4613254627937262,1.06
4.320650178840413,0.3750645018293762,2.78
4.323676841562759,0.03462598845604346,3.82
4.334771899617686,-1.377015003033259,3.86
4.345357496063958,-0.49246238099540035,2.82
4.350926754440609,-0.1844305128545676,2.54
4.368937766923028,0.5515716213056175,2.81
4.3759592265038,0.679321484597533,3.48
4.401129666844362,-1.2047609018782777,1.91
4.406020864806614,-1.0304664410145448,3.77
4.407675436937503,-0.5985298095502801,2.29
4.415118131733246,-0.6640520527574401,3.0
4.41714812418624,-0.6635311766954749,3.56
4.426957223648299,-0.7393443873178768,3.62
4.4404158065762775,0.16362519333312156,3.19
4.444569777462487,-0.9772123091058704,3.12
4.451853298230446,0.5397675930552369,3.92
4.48892958932995,1.1469375852543446,3.17
4.495872509094384,-0.2744514540797815,2.43
4.5036175821830335,-0.7546662139421145,3.32
4.5145018917307835,0.2511586913083932,2.78
4.516178455010248,0.43352589337454556,3.12
4.5162457374529135,0.642441071799981,3.16
4.546624676613739,-0.43632437175048583,3.27
4.560981231441868,-0.969179309050519,2.84
4.561393303678264,-0.9839769609405051,3.31
4.5833776454693105,0.9128314065097595,2.79
4.584822516290573,-0.6509346991515189,2.7
4.586284927670819,-1.059132950379776,3.6
4.589525218693611,-0.8705029484521072,2.84
4.597235210664295,-0.647583841520615,1.62
4.603019929937105,0.21921396491572598,2.08
4.613423575808856,-0.7504535999930383,1.86
4.614592510075378,-0.26875551970602046,3.54
4.622787354512268,0.8029619701656279,3.82
4.635978116666528,-0.6812017103474141,2.39
4.6402745064197,0.07971447528621457,2.76
4.650138583753196,-1.129644653586075,3.61
4.653305832746789,0.48381706707857164,3.42
4.658216927462515,-0.7003482165878872,2.99
4.659560743720087,0.047250879960222,3.75
4.668135720868061,-0.6465276206171855,3.19
4.684149727620347,0.9926148746613054,3.73
4.696039608616633,0.6501445536925561,3.86
4.697580821612606,0.8986507459636457,2.24
4.702635382392845,0.5104718052281991,3.7
4.708141285317649,-0.1705820582782784,3.32
4.715204371001081,0.051165513846105126,3.93
4.73773194652181,-0.5310005598763742,2.98
4.741323048724252,-0.8742612008370115,3.65
4.744458358192535,0.16692061930698215,3.71
4.7452992578261455,0.5020001166653588,3.84
4.772443665550712,-0.3675459899309276,3.84
4.789303807924366,-0.6416124592843041,3.1
4.803992586175613,-0.5205986069739982,2.72
4.8042114504638125,1.26942758468611,3.55
4.805371483551151,-0.050594040689124625,3.23
4.815791099185557,0.3799538497426206,3.85
4.817859576148558,-0.6001247612339226,1.79
4.830083774963063,-0.8023009616180201,3.49
4.834434357189509,-0.4436923664542425,2.82
4.866008934154413,-0.1438862176247665,3.85
4.873563155489358,0.6769031214793847,0.03
4.911602606536575,-0.47107794377485,3.17
4.930903766402068,0.5822883863964591,3.52
4.953529778492609,-0.45896438138162826,2.05
4.964283711945233,-0.3683806063792312,3.52
4.969579389961635,0.57054040066836,3.25
4.985585019133511,-0.5215062130916203,2.6
4.994621810401563,-0.3794606895091771,3.76
4.9977945571823,0.24196333687779845,2.99
5.001454774423121,-0.08521664320641921,3.43
5.004470703370567,-0.4829399867695669,3.32
5.016791244359783,-0.36693130242166766,2.88
5.028963345096116,1.1809166674231366,3.07
5.048811665682109,0.9314553262656005,3.8
5.068753186850158,-0.31149234990205443,3.92
5.072966062598622,-0.7759553212789208,3.96
5.078411489864844,-0.7088818817924657,3.96
5.085445777615619,0.05436307920880638,3.36
5.103804721484423,0.9028549648790197,3.76
5.108235676122923,0.48798849125730065,3.05
5.170426382493999,0.787681228591982,2.86
5.176034125380657,0.1852363488235059,2.72
5.180956215670668,0.3234843152062898,3.68
5.184374006678387,1.2264067370608993,3.84
5.195772228424386,0.15478141802704856,0.76
5.2031442373854215,0.017552095608898692,3.87
5.215537820403834,0.11181910874494946,3.71
5.219870862071297,0.6123212616731991,3.89
